Target	Alternate ID	SAO	HIP	WDS	Con	RA 2000	Dec 2000	Mm	X	PSA	season	Parent	Pair	PA	SepSec	MagC	M1	M2	Notes	Type
				STF2140							summer(1)		AD	39	79.2		3.5	11.1	D obvious in good conditions. To the NE. White. Comparatively far away.	Optical
100 Her	HR 6781	SAO 85753	HIP 88818	STF2280	Her	18 07.8	+26 06	90.0	45.0	65.0	summer(1)	STF2280	AB	183	14.3	5.0	5.8	5.8	A and B are Identical. Exact same brightness and colour. Both white. South.	Optical
				STF2280							summer(1)		AC	127	79.9		5.9	11.8	Dim, to the SE, and about 5 times the AB separation.	Uncertain
17 Dra	HR 6185	SAO 30013	HIP 81292	STF2078	Dra	16 36.2	+52 55	150.0	140.0	52.0	summer(1)	STF2078	AB	104	3.3	5.0	5.4	6.4	Very tight. Switch from low power to high power. ESE. Both white.	Physical
				STFA 30							summer(1)		AC	193	90.0		5.4	5.5	16 and 17 Draconis might well be a binocular target. Similar colours and brightness. Nice. South.	Physical
				STFA 30							summer(1)		CD	123	123.9		5.5	11.2	Possible beyond the light grasp of binoculars or a small telescope. To the SE.	Optical
Kuma	Nu 2 Dra, 25 Dra	SAO 30450	HIP 85829	STFA 35	Dra	17 32.3	+55 10	90.0	25.0	52.0	summer(1)	STFA 35	AB	311	62.1	4.1	4.9	4.9	aka Dragon's Eyes. Wide. Same brightness. One is white; the other a hint of yellow. Very good.	Physical
Dsiban	Psi 1 Dra, 31 Dra	SAO 8890	HIP 86614	STF2241	Dra	17 41.9	+72 09	90.0	45.0	51.0	summer(1)	STF2241	AB	17	30.1	4.2	4.6	5.6	Wide pair. Surprisingly. Main bright yellow; companion dark yellow or yellow with a hint of orange.	Binary
				STF2241							summer(1)		AC	107	78.1		4.6	11.1	Dim and twice the separation. Right angle. C is nearly due E of A.	Optical
41 Dra	HR 6810	SAO 8996	HIP 88136	STF2308	Dra	18 00.2	+80 00	90.0	70.0	61.0	summer(1)	STF2308	AB	232	18.8	5.1	5.7	6.0	Nice. Wide. Nearly equal colour and brightness. Not very colourful...  SW.	Binary
				STF2308							summer(1)		AC	129	224.8		5.7	8.3	Wide pair, C is to the SE. Surprisingly close to Ursa Minor.	Optical
HR 7083	HD 174208	SAO 142661	HIP 92391	H 6  50	Sct	18 49.7	-05 55	100.0	25.0	67.0	summer(1)	H 6 50	AB	358	24.8	6.0	6.2	12.5	Dim close-in companion. Due N. Beside Wild Duck Cluster.	Uncertain
				H 6  50							summer(1)		AC	171	111.8		6.2	8.2	The stars looked yellow and blue. Wide. S.	Optical
Epsilon 1 Lyr	Double Double, 4 Lyr	SAO 67310	HIP 91919	STF2382	Lyr	18 44.3	+39 40	150.0	140.0	63.0	summer(1)	STF2382	AB	345	2.3	3.9	5.2	6.1	Tight pair to the north. This pair is the same colour, white.	Binary
				STFA 37							summer(1)		AB,CD	172	209.5		4.7	4.6	The Double Double. Tim Horton Star! :-) Easy in binoculars. Can you see naked eye?! White.	Physical
				STF2383							summer(1)		CD	74	2.4		5.3	5.4	Tight pair to the south. Slightly different colours. Subtle. 90° angle to AB alignment.	binary
				STFA 37							summer(1)		AI	137	149.5		5.2	10.1	Faint. Bright, east of F. Easily seen at 226x. Pale yellow.	Optical
				SHJ 277							summer(1)		CF	0	93.3		4.6	12.7	Very faint. Between AB and CD. Closer to AB and eastward. Use averted. Pale yellow.	Uncertain
				STF2383							summer(1)		CE	334	63.2		5.3	12.3	Very faint. Between AB and CD. Westward. Brighter than F. Pale yellow.	Optical
Sheliak	Beta Lyr, 10 Lyr	SAO 67451	HIP 92420	STFA 39	Lyr	18 50.1	+33 22	90.0	45.0	63.0	summer(1)	STFA 39	AB	149	45.7	3.5	3.6	6.7	Close at 17x but wide at 71x. Primary brilliant white with hint of yellow. Secondary looks green.	Uncertain
				BU  293							summer(1)		AE	317	67.2		3.6	10.1	No trouble at 78x. Blue-white? To the NW.	Optical
				BU  293							summer(1)		AF	18	86.0		3.6	10.6	Blue-white? To the NE. This whole multi-star system is not far from the Ring Nebula.	Uncertain
HR 7140	HD 175635	SAO 67566	HIP 92833	STT 525	Lyr	18 54.9	+33 58	90.0	45.0	63.0	summer(1)	STT 525	AB	130	1.8	5.9	6.1	9.1	Very faint companion very close to the primary. Visible in large 'scope. Orange or yellow.	Uncertain
				SHJ 282							summer(1)		AC	350	45.4		6.1	7.6	Nice wide double. Classic colours: pale yellow and pale blue. Near the Ring Nebula. To the N.	Physical
				SHJ 282							summer(1)		AD	295	214.8		6.1	11.0	Very faint and far from primary. To the NW.	Optical
HR 7099	HD 174569	SAO 104170	HIP 92475	STF2404	Aql	18 50.8	+10 59	150.0	140.0	65.0	summer(1)	STF2404	AB	182	3.5	6.5	6.9	7.8	Pretty. South. Yellow and orange at lower power. Interesting. Near open cluster NGC 6709.	Uncertain
15 Aql	h Aql, HR 7225	SAO 142996	HIP 93717	SHJ 286	Aql	19 05.0	-04 02	90.0	45.0	67.0	summer(1)	SHJ 286	AB	211	39.6	5.3	5.5	7.0	Very interesting pair. Hard to get colours. Bright one seemed a dark yellow; companion looks red.	Optical
57 Aql	HR 7593	SAO 143898	HIP 97966	STF2594	Aql	19 54.6	-08 14	90.0	45.0	66.0	summer(1)	STF2594	AB	171	35.7	5.2	5.7	6.4	Nice pair. Almost equal in magnitude. The brighter one is a pale blue; fainter star is pale yellow.	Physical
HR 7294	HD 179958	SAO 48193	HIP 94336	STF2486	Cyg	19 12.1	+49 52	90.0	100.0	63.0	summer(2)	STF2486	AB	204	7.1	5.8	6.5	6.7	Two gold stars, equally coloured, equally bright. Easily split at 145x. Beside triple HR 7311.	Binary
				STF2486							summer(2)		AD	104	196.0		6.5	11.1	Very faint. Far away to the SE. May be referred to as HD 179957 and HR 7293.	Optical
HR 7529	HD 186901	SAO 68805	HIP 97228	STF2578	Cyg	19 45.7	+36 05	90.0	70.0	62.0	summer(2)	STF2578	AB	125	14.9	5.9	6.4	7.0	Nearly equal. White and orange. Almost east-west. Lots of faint stars. Attractive at 48x.	Optical
				STF2578							summer(2)		AC	356	44.3		6.4	12.5	The C and D stars popped at 226x. C to the north.	Uncertain
				STF2578							summer(2)		AD	70	95.0		6.4	12.4	The C and D stars popped at 226x. D to the NE.	Uncertain
				STF2578							summer(2)		AF	251	144.5		6.4	9.2	The curious star to the far west.	Optical
U Cyg	HD 193700	SAO 49479	HIP 100230	BLL 49	Cyg	20 19.7	+47 54	90.0	45.0	62.0	summer(2)	BLL 49	AB	231	65.4	7.6	8.0	9.0	The A star is highly variable, may be dimmer than B. Pale orange and red. SW.	Optical
61 Cyg	V1803 Cyg	SAO 70919	HIP 104214	STF2758	Cyg	21 07.0	+38 46	90.0	45.0	73.0	summer(2)	STF2758	AB	153	31.8	4.8	5.2	6.1	Close. SE. Both light gold. Almost equal brightness. B is slightly fainter than A. Pretty system.	Binary
				STF2758							summer(2)		AC	219	839.8		5.4	10.2	Ay carumba! Very wide. To the SW. Rich field. Surrounded by many faint stars.	Optical
				STF2758							summer(2)		AD	250	748.0		5.4	10.5	Use a detailed atlas or powerful software to identify field stars from official companions. Very wide.	Optical
				STF2758							summer(2)		AE	267	340.8		5.4	9.6	Use atlas or software to identify field stars from official companions. Very wide. Due W.	Optical
				STF2758							summer(2)		AF	240	371.2		5.4	11.3	Use atlas or software to identify field stars from official companions. Very wide. SW.	Optical
				STF2758							summer(2)		AG	236	260.4		5.4	11.3	Use atlas or software to identify field stars from official companions. Very wide. SW.	Optical
				STF2758							summer(2)		AH	268	117.5		5.4	10.0	Use atlas or software to identify field stars from official companions. Wide. W.	Optical
				SMR  1							summer(2)		AI	239	28.3		5.4	10.7	Use atlas or software to identify field stars from official companions. Close. SW.	Optical
				HZE  4							summer(2)		AJ	241	17.5		2.3	12.4	Use atlas or software to identify field stars from official companions. Tight. Faint. SW.	Uncertain
				SMR  40							summer(2)		AO	281	163.4		5.4	12.7	Use atlas or software to identify field stars from official companions. Wide. Faint. W.	Optical
				SMR  40							summer(2)		AP	285	159.6		5.4	12.8	Use atlas or software to identify field stars from official companions. Wide. Faint. W.	Optical
HD 200392	TYC 1660-00673-1	SAO 89397	HIP 103852	BU 69	Vul	21 02.6	+21 41	100.0	25.0	75.0	summer(2)	BU 69	AC	241	74.6	7.4	8.4	8.0	In a hockey stick, in the blade. Main was a touch brighter than B. Wide. WSW. White and orange.	Uncertain
HR 8101	HD 201671	SAO 89505	HIP 104539	STF2769	Vul	21 10.5	+22 27	90.0	45.0	75.0	summer(2)	STF2769	AB	300	18.2	6.2	6.7	7.4	Obvious. Bright star yellow. B blue? Nearly equal brightness. Oriented nearly perfectly east-west.	Physical
HD 183014	TYC 1612-00787-1	SAO 87218	HIP 95612	STF2523	Vul	19 26.8	+21 10	100.0	50.0	64.0	summer(2)	STF2523	AB	148	6.4	7.3	8.0	8.1	Nearly equal. Part of a triangle, at north apex. Very tight, blue-white stars. Near Coathanger.	Physical
				STF2523							summer(2)		AC	147	250.8		8.0	7.2	Very wide. SE. Similar brightness to AB.	Uncertain
				KRU  8							summer(2)		CD	139	10.5		7.2	12.8	Fantastic. Unequal stars in brightness and colour. White and orange. Classic! Near HLM 23.	Uncertain
V340 Sge	HR 7475	SAO 105104	HIP 96688	H N 84	Sge	19 39.4	+16 34	100.0	50.0	64.0	summer(2)	H N 84	AB	301	28.4	6.3	6.4	9.5	WNW. Wide at 55x. Orange and blue. Or green? Unequal. Interesting. Near epsilon Sge.	Uncertain
Theta Sge	17 Sge	SAO 88276	HIP 99352	STF2637	Sge	20 09.9	+20 55	100.0	70.0	64.0	summer(2)	STF2637	AB	332	11.6	6.2	6.6	8.9	NNW. Tight. Primary yellow-white, partner orange-yellow. Interesting. Low and high power.	Physical
				STF2637							summer(2)		AC	222	91.3		6.6	7.5	C is yellow with a touch of orange. To the SW!	Optical
				STF2637							summer(2)		AD	226	172.8		6.6	11.9	Harder. Grey? D is beyond C. Surrounded by other doubles.	Optical
HR 8281	HD 206267, STF 2816	SAO 33626	HIP 106886	STF2816	Cep	21 39.0	+57 29	90.0	70.0	73.0	summer(2)	BU 1143	AC	121	11.8	5.5	5.7	7.5	Within open cluster IC 1396. In Elephant Trunk. Wow! White-yellow; companion SW yellow-orange.	Physical
				STF2816							summer(2)		AD	339	20.6		5.7	7.5	The companion to the north, D, the bright one, slightly further, is dull yellow.	Physical
HR 8357	HD 208095	SAO 33819	HIP 107930	STF2840	Cep	21 52.0	+55 48	90.0	45.0	73.0	summer(2)	STF2840	AB	197	18.1	5.2	5.6	6.4	SSW. Nearly equal brightness stars, whitish in colour. Near some close colourful stars.	Optical
Alkurhah	Xi Cep, 17 Cep, Kurhah	SAO 19827	HIP 108917	STF2863	Cep	22 03.8	+64 38	90.0	70.0	71.0	summer(2)	STF2863	AB	274	8.4	4.3	4.5	6.4	Tight. Main is light yellow. At low power partner looks blue. Pretty, near a loose gaggle of stars.	Binary
				STF2863							summer(2)		AC	206	109.5		4.5	12.6	Very faint start to the south-west, well away.	Optical
Delta Cep	27 Cep	SAO 34508	HIP 110991	STFA 58	Cep	22 29.2	+58 25	90.0	45.0	72.0	summer(2)	STFA 58	AC	191	41.0	4.0	4.2	6.1	S. Very wide pair, wide even at 36x. Yellow and blue. Assess variable brightness while here.	Physical
Kappa Cep	1 Cep, Al Aghnam I	SAO 9665	HIP 99255	STF2675	Cep	20 08.9	+77 43	150.0	140.0	61.0	summer(2)	STF2675	AB	120	7.3	4.4	4.4	8.3	ESE. White and orange. Many magnitudes different. Very close together. A neat system!	Physical
				STF2675							summer(2)		AC	334	170.2		4.4	10.3	The C star is dimmer and to the north-west. Bluish.	Optical
Alpha 1 Cap	Al Giedi, Prima Giedi, 5	SAO 163422	HIP 100027	HJ  607	Cap	20 17.6	-12 31	100.0	25.0	66.0	summer(2)	BU 295	AC	222	46.9	4.2	4.2	9.6	C is south-west. Yellow-blue. Do not get distracted by binocular double with alpha 2.	Optical
Dabih	Beta Cap, 9 Cap	SAO 163481	HIP 100345	STFA 52	Cap	20 21.0	-14 47	35.0	7.0	66.0	summer(2)	STFA 52	AB	267	205.4	3.0	3.2	6.1	Use binoculars! Very wide. Bright yellow and bright blue stars. To the W.	Physical
				STFA 52							summer(2)		AC	133	226.1		3.2	8.8	Flanking. SE. Dark blue. They form an isosceles triangle.	Physical
Omicron Cap	12 Cap	SAO 163626	HIP 101123	SHJ 324	Cap	20 29.9	-18 35	90.0	45.0	66.0	summer(2)	SHJ 324	AB	239	21.9	5.5	5.9	6.7	Two equal pale blue white stars. WSW.	Physical
HD 196411	TYC 1100-01112-1	SAO 106302	HIP 101700	STF2703	Del	20 36.8	+14 44	100.0	40.0	64.0	summer(2)	STF2703	AB	289	25.0	7.6	8.4	8.4	NW. A and B are blue-ish. Equal brightness. Faint. Near multi-star system Rotanev.	Uncertain
				STF2703							summer(2)		AC	234	77.8		8.4	8.8	Blue-ish. C slightly fainter than A and B. South-west of B.	Optical
				STF2703							summer(2)		AD	347	84.7		8.4	12.8	Very faint. Flanking, to the north.	Uncertain
Gamma 2 Del	12 Del, Al Salib	SAO 106476	HIP 102532	STF2727	Del	20 46.7	+16 07	90.0	100.0	64.0	summer(2)	STF2727	AB	266	8.9	3.9	4.4	5.0	Bright yellow gold pair of stars, fairly tight at 77x. West.	binary
3 Peg	HR 8265	SAO 126940	HIP 106783	STFA 56	Peg	21 37.7	+06 37	90.0	45.0	75.0	autumn(1)	STFA 56	AB	348	38.8	5.9	6.2	7.5	NNW. White and orange. Equal. Stunning. Near a faint double. Two in the view.	Physical
Epsilon Equ	1 Equ	SAO 126428	HIP 103569	STF2737	Equ	20 59.1	+04 18	90.0	70.0	75.0	autumn(1)	STF2737	AC	67	10.6	5.1	5.3	7.1	Easy in a large 'scope. C to the north-east. Bright yellow and light yellow. Hints of green?	Optical
8 Lac	HR 8603	SAO 72509	HIP 111546	STF2922	Lac	22 35.9	+39 38	90.0	45.0	72.0	autumn(1)	STF2922	AB	186	22.3	5.2	5.7	6.3	Both white? Or pale yellow? B to the south. Slightly dimmer than A. Near double HR 8588.	Optical
				A  1469							autumn(1)		AC	168	48.8		5.7	10.4	C was further south of B, slightly east, much dimmer. Orange!	Uncertain
				A  1469							autumn(1)		AD	145	81.6		5.7	9.1	D was brighter than C, south-east of B, and blue.	Uncertain
				A  1469							autumn(1)		AE	239	335.2		5.7	7.3	E, well away to the SW, pale orange, dimmer than B.	Optical
				COM  8							autumn(1)		BF	175	127.6		6.3	11.0	Dimmer still. And well away from B, same direction, but not as far as E.	Uncertain
10 Lac	HR 8622	SAO 72575	HIP 111841	S 813	Lac	22 39.3	+39 03	100.0	25.0	72.0	autumn(1)	S 813	AB	47	62.6	4.8	4.8	10.3	Bright star, blue-white. B might look purple!? B much fainter. Cool! Shown as single star in PSA.	Optical
WZ Cas	HD 224855	SAO 21002	HIP 99	STTA254	Cas	00 01.3	+60 21	100.0	25.0	1.0	autumn(1)	STTA254	AB	89	57.8	7.0	7.4	8.3	Incredible. Wide. A, orange, B, blue. In a rich field. May not be obvious. Due E.	Uncertain
				STTA254							autumn(1)		AC	324	155.4		7.4	9.6	Forms a spire. Well away to the north-west. Fainter.	Uncertain
				STTA254							autumn(1)		AD	118	181.4		7.4	10.4	Opposite C from the B star. Fainter still.	Optical
HR 9094	HD 225009	SAO 10937	HIP 207	STF3053	Cas	00 02.6	+66 06	90.0	70.0	1.0	autumn(1)	STF3053	AB	70	15.0	5.7	6.0	7.2	A little Albireo. Lovely light gold primary and a wide blue companion. Almost equal brightness. E.	Optical
				STF3053							autumn(1)		AC	291	98.5		6.0	11.0	Much fainter and much further away. To the NW.	Uncertain
Achird	Eta Cas, 24 Cas	SAO 21732	HIP 3821	STF 60	Cas	00 49.1	+57 49	100.0	100.0	3.0	autumn(1)	STF 60	AB	326	13.4	3.5	3.5	7.4	Wow! Burnt yellow and dull orange. Close, to the NW.	binary
				STF 60							autumn(1)		AC	260	225.0		3.5	11.4	Faint and wide. Between B and G. Due W of A.	Optical
				STF 60							autumn(1)		AD	354	189.4		3.5	12.8	D star to the N. Faint.	Optical
				STF 60							autumn(1)		AE	126	75.6		3.5	10.2	E star to the south-east. Blue. In-line with A and B.	Optical
				STF 60							autumn(1)		AF	276	378.3		3.5	11.5	To the west. Faint. Orange.	Optical
				STF 60							autumn(1)		AG	259	419.7		3.5	9.5	G star to the west of A and south of F. White.	Optical
				STF 60							autumn(1)		AH	355	701.1		3.5	8.4	H star far to the north.	Optical
				SMR 2							autumn(1)		AI	73	90.3		3.5	11.6	Faint and wide. NE.	Optical
				SMR 2							autumn(1)		AJ	262	237.1		3.5	12.3	Faint and wide.	Uncertain
Pi And	29 And	SAO 54033	HIP 2912	H 5  17	And	00 36.9	+33 43	100.0	50.0	3.0	autumn(1)	H 5 17	AB	174	35.8	4.3	4.4	7.1	Wide, easy, low power. Nice yellow and blue. B south. Faint 3rd star. Shown as single star in PSA.	Physical
56 And	HR 557	SAO 55107	HIP 9021	STFA  4	And	01 56.2	+37 15	50.0	10.0	2.0	autumn(1)	STFA 4	AB	298	202.5	5.2	5.8	6.1	Equal in brightness. Citrus-orange and pale or straw-yellow. Binoculars? Near NGC 752.	Optical
				BU 1368							autumn(1)		AC	79	18.4		5.8	11.9	Faint. Much closer. East.	Physical
				BU 1368							autumn(1)		BD	258	204.4		6.1	9.8	Further out from B star. Nearly due W of B.	Optical
Almaak	Gamma 1, Almach, 57 And	SAO 37734	HIP 9640	STF 205	And	02 03.9	+42 20	90.0	100.0	2.0	autumn(1)	STF 205	AB	63	9.4	2.2	2.3	5.0	A close pair of yellow (A) and blue (BC) stars, like a miniature Albireo. Beautiful.	Physical
59 And	HR 628	SAO 55330	HIP 10176	STF 222	And	02 10.9	+39 02	90.0	70.0	2.0	autumn(1)	STF 222	AB	36	16.5	5.6	6.1	6.7	Wide pair. Yellow and blue. Wow. NE.	Physical
77 Psc	HR 313	SAO 109666	HIP 5141	STF 90	Psc	01 05.8	+04 54	90.0	45.0	5.0	autumn(1)	STF 90	AB	84	32.7	6.0	6.4	7.3	B is bright star to the east of A. Nearly the same magnitude. Wide. Yellow and pale yellow.	Physical
Zeta Psc	86 Psc, Revati	SAO 109739	HIP 5737	STF 100	Psc	01 13.7	+07 35	90.0	45.0	5.0	autumn(2)	STF 100	AB	63	23.2	4.9	5.2	6.3	ENE. Bright stars. The main is yellow. The companion is slightly redder.	Physical
				BU 1029							autumn(2)		BC	75	2.0		6.3	12.2	Very faint and very tight. E of B.	Uncertain
HD 3125	D 2	SAO 128831	HIP 2713	STF 39	Cet	00 34.5	-04 33	150.0	50.0	7.0	autumn(2)	STF 39	AC	45	20.1	6.9	7.1	8.7	"Decent star hop from iota. White and orange. Very close! SW-NE. AB (WDS D 2) are <0.5""."	Physical
				ALL 1							autumn(2)		AD	159	200.8		7.1	10.0	Outlier. The D star was to the south-south-east. 10 times the AC sep. Slightly dimmer than C. Nice!	Optical
HD 9336	BD-19 262	SAO 147861	HIP 7108	HJ 2052	Cet	01 31.6	-19 01	90.0	45.0	6.0	autumn(2)	HJ 2052	AB	114	80.8	6.4	6.9	7.5	Equal. Wide. ESE. Yellow and blue.	Optical
Nu Cet	78 Cet	SAO 110635	HIP 12093	STF 281	Cet	02 35.9	+05 36	100.0	50.0	4.0	autumn(2)	STF 281	AB	80	8.4	5.0	5.0	9.1	Bright primary and delicate dim star. B is east. Pale yellow and white.	Physical
66 Cet	HR 650	SAO 129752	HIP 10305	STF 231	Cet	02 12.8	-02 24	90.0	45.0	6.0	autumn(2)	STF 231	AB	235	16.8	5.5	5.7	7.7	Interesting. Yellow and orange? Blue? delicate. Not far from Mira. SW.	Optical
				STF 231							autumn(2)		AC	53	147.0		5.7	11.5	Faint star to the north-east.	Optical
Mesarthim	Gamma 2 Ari, 5 Ari	SAO 92681	HIP 8832	STF 180	Ari	01 53.5	+19 18	90.0	100.0	4.0	autumn(2)	STF 180	AB	2	7.4	3.8	4.5	4.6	Same magnitude and colour. Yellow-white. Easy to split at 52x. They look like moth eyes!	Physical
				STF 180							autumn(2)		AC	81	216.8		4.5	8.6	Dim and very far away, to the east.	Optical
HD 13247	BD+32 390	SAO 55321	HIP 10130	STF 219	Tri	02 10.3	+33 22	100.0	50.0	2.0	autumn(2)	STF 219	AB	186	11.7	7.6	8.0	8.9	Faint. Interesting field stars. B is slightly dimmer and nearly due south. Pale blue both.	Physical
15 Tri	HR 750	SAO 55687	HIP 12086	AG  304	Tri	02 35.8	+34 41	90.0	25.0	2.0	autumn(2)	AG 304	AB	16	142.4	5.3	5.6	6.8	Amazing colours. Wide pair. NNE. Easy target in binoculars. Pale orange. B is aquamarine.	Uncertain
Polaris	Alpha UMi, 1 UMi	SAO 308	HIP 11767	STF  93	UMi	02 31.9	+89 16	100.0	50.0	1.0	autumn(2)	STF 93	AB	236	18.4	2.0	2.0	9.1	Yellow and blue and beautiful! SW.	Physical
Zeta Per	Atik, 44 Per	SAO 56799	HIP 18246	STF 464	Per	03 54.1	+31 53	90.0	70.0	13.0	autumn(2)	STF 464	AB	209	12.9	2.9	2.9	9.2	aka Atik. Tight. A is pale yellow. Near triple HD 24601.	Physical
				STF 464							autumn(2)		AC	286	33.3		2.9	11.2	Faintest of all. NW.	Uncertain
				STF 464							autumn(2)		AD	195	98.6		2.9	10.4	A pair, dim, to the south. D and E stars. D is closer. Hard to get colours, orange?	Optical
				STF 464							autumn(2)		AE	186	120.0		2.9	10.0	A pair, dim, to the south. D and E stars. Hard to get colours, blue?	Physical
Miram	Eta Per, 15 Per	SAO 23655	HIP 13268	STF 307	Per	02 50.7	+55 54	90.0	45.0	2.0	autumn(2)	STF 307	AB	301	28.7	3.8	3.8	8.5	Miram. Light orange with blue-green. NW.	Uncertain
				STF 307							autumn(2)		AC	269	64.0		3.8	11.6	Grey. To the W. Same distance as F.	Optical
				SHJ  34							autumn(2)		AE	297	242.9		3.8	9.2	Blue-white. Beyond B. Well away	Optical
				WAL  19							autumn(2)		AF	25	57.7		3.8	11.4	Dull yellow. Same distance as CD. Nearly due N.	Optical
				WRD  1							autumn(2)		CD	116	5.2		11.6	12.7	"Grey. Same distance as F. D is the ""inner"" star while C is the ""outer."""	Uncertain
