object,type,comments,p-object
NGC2237,HII,"Ionized Nebula C49 Rosette Nebula, includes NGC 2238 and NGC 2246",
NGC2239,Open Cluster,"P254, embedded in NGC 2237 Rosette Nebula",
NGC2244,Open Cluster,"C50, Herschel 400 H2-7, embedded in NGC 2237",
NGC2245,Reflection Nebula,P255,
NGC2250,Open Cluster,P164,
NGC2251,Open Cluster,Herschel 400 H3-8,
NGC2252,Open Cluster,P91,
NGC2254,Open Cluster,P165,
NGC2259,Open Cluster,P231,
NGC2261,Reflection Nebula,C46 Hubble’s Variable Nebula,
NGC2262,Open Cluster,P232,
NGC2264,Open Cluster,"H 400 H27-5 Cone Nebula, H5-8 Christmas Tree Cluster",
NGC2269,Open Cluster,P166,
NGC2282,HII,Ionized Nebula P269,
NGC2286,Open Cluster,Herschel 400 H31-8,
NGC2299,Open Cluster,P167,
NGC2301,Open Cluster,Herschel 400 H27-6,
NGC2309,Open Cluster,P233,
NGC2311,Open Cluster,Herschel 400 H60-8,
NGC2323,Open Cluster,M50 Heart Shaped Cluster,
NGC2324,Open Cluster,Herschel 400 H38-7,
NGC2335,Open Cluster,"Herschel 400 H32-8, overlaps IC 2177 Seagull Nebula",
NGC2343,Open Cluster,"Herschel 400 H33-8, overlaps IC 2177 Seagull Nebula",
NGC2346,Planetary Nebula,P283 Butterfly Nebula,
NGC2353,Open Cluster,Herschel 400 H34-8,
NGC2368,Open Cluster,P235,
NGC2506,Open Cluster,"C54, Herschel 400 H37-6",
IC4603,Reflection Nebula,"P325, part of Rho Ophiuchi Cloud Complex",
IC4604,Reflection Nebula,P313 Rho Ophiuchi Nebula,
IC4634,Planetary Nebula,P168,
IC4665,Open Cluster,P36,
NGC6171,Globular Cluster,"M107, Herschel 400 H40-6 Crucifix Cluster",
NGC6218,Globular Cluster,M12 Gumball Globular Cluster,
NGC6235,Globular Cluster,Herschel 400 H584-2,
NGC6254,Globular Cluster,M10,
NGC6266,Globular Cluster,M62 Flickering Globular Cluster,
NGC6273,Globular Cluster,M19,
NGC6284,Globular Cluster,Herschel 400 H11-6,
NGC6287,Globular Cluster,Herschel 400 H195-2,
NGC6293,Globular Cluster,Herschel 400 H12-6,
NGC6304,Globular Cluster,Herschel 400 H147-1,
NGC6309,Planetary Nebula,P236 Box Nebula,
NGC6316,Globular Cluster,Herschel 400 H45-1,
NGC6325,Globular Cluster,P169,
NGC6333,Globular Cluster,M9,
NGC6342,Globular Cluster,Herschel 400 H149-1,
NGC6355,Globular Cluster,Herschel 400 H46-1,
NGC6356,Globular Cluster,Herschel 400 H48-1,
NGC6366,Globular Cluster,P37,
NGC6369,Planetary Nebula,Herschel 400 H11-4 Little Ghost Nebula,
NGC6384,Galaxy,P320,
NGC6401,Globular Cluster,Herschel 400 H44-1,
NGC6402,Globular Cluster,M14,
NGC6426,Globular Cluster,Herschel 400 H587-2,
NGC6517,Globular Cluster,Herschel 400 H199-2,
NGC6572,Planetary Nebula,P38 Emerald Nebula,
NGC6633,Open Cluster,Herschel 400 H72-8,
IC431,Reflection Nebula,P361,
IC432,Reflection Nebula,P362,
IC434,HII,"Ionized/Dark Neb P92, includes Barnard 33 Horsehead Nebula",
IC435,Reflection Nebula,P368,
IC2162,Emission Nebula,P358,
NGC1662,Open Cluster,P39,
NGC1788,Reflection Nebula,Herschel 400 H32-5,
NGC1976,HII,"Ionized Nebula M42 Great Orion Nebula, includes Trapezium Cluster",
NGC1977,Reflection Nebula,"P40 Running Man Nebula, includes NGC 1975",
NGC1980,Open Cluster,Herschel 400 H31-5 Lost Jewel of Orion Cluster,
NGC1981,Open Cluster,P41,
NGC1982,HII,Ionized Nebula M43 DeMairan Nebula,
NGC1999,Reflection/Dark,Neb Herschel 400 H33-4 Cosmic Keyhole Nebula,
NGC2022,Planetary Nebula,Herschel 400 H34-4,
NGC2023,Emission/Reflect,Neb P93,
NGC2024,Emission Nebula,Herschel 400 H28-5 Flame Nebula,
NGC2064,Reflection Nebula,P356,
NGC2067,Reflection Nebula,P357,
NGC2068,Reflection Nebula,M78,
NGC2071,Reflection Nebula,P42,
NGC2112,Open Cluster,P170,
NGC2141,Open Cluster,P171,
NGC2169,Open Cluster,Herschel 400 H24-8 The 37 Cluster,
NGC2174,HII,Ionized Nebula P43 Monkey Head Nebula,
NGC2175,Open Cluster,"P369, overlaps NGC 2174 Monkey Head Nebula",
NGC2180,Open Cluster,P321,
NGC2186,Open Cluster,Herschel 400 H25-7,
NGC2194,Open Cluster,Herschel 400 H5-6,
NGC7078,Globular Cluster,M15 Great Pegasus Globular Cluster,
NGC7177,Galaxy,P370,
NGC7217,Galaxy,Herschel 400 H207-2,
NGC7331,Galaxy,"C30, Herschel 400 H53-1",
NGC7332,Galaxy,P288 Paired with NGC 7339,
NGC7448,Galaxy,Herschel 400 H251-2,
NGC7457,Galaxy,P173,
NGC7479,Galaxy,"C44, Herschel 400 H55-1 Superman Galaxy",
NGC7619,Galaxy,P346,
NGC7626,Galaxy,P108,
NGC7814,Galaxy,C43 Little Sombrero Galaxy,
IC348,Open Cluster,P95,
IC351,Planetary Nebula,P351,
IC2003,Planetary Nebula,P237,
IC2067,Reflection Nebula,P326,
NGC650/NGC651,Planetary Nebula,"M76, Herschel 400 H193-1 Little Dumbell Nebula",
NGC744,Open Cluster,P96,
NGC869,Open Cluster,"C14a, Herschel 400 H33-6 Double Cluster (West)",
NGC884,Open Cluster,"C14b, Herschel 400 H34-6 Double Cluster (East)",
NGC957,Open Cluster,P97,
NGC1023,Galaxy,Herschel 400 H156-1 Perseus Lenticular Galaxy,
NGC1039,Open Cluster,M34 Spiral Cluster,
NGC1058,Galaxy,P107,
NGC1161,Galaxy,P261,
NGC1220,Open Cluster,P238,
NGC1245,Open Cluster,Herschel 400 H25-6,
NGC1275,Galaxy,C24 Perseus A Seyfert Galaxy,
NGC1333,Reflection Nebula,P330,
NGC1342,Open Cluster,Herschel 400 H88-8 Stingray Cluster,
NGC1444,Open Cluster,Herschel 400 H80-8,
NGC1491,HII,Ionized Nebula P60 Fossil Footprint Nebula,
NGC1496,Open Cluster,P174,
NGC1499,Emission Nebula,P44 California Nebula,
NGC1513,Open Cluster,Herschel 400 H60-7,
NGC1528,Open Cluster,Herschel 400 H61-7,
NGC1545,Open Cluster,Herschel 400 H85-8,
NGC1579,Emission/Reflect,Neb P333 Northern Trifid Nebula,
NGC1582,Open Cluster,P45,
NGC1605,Open Cluster,"P239, pair of Open Clusters (overlapping binary pair)",
NGC1624,Open Cluster,P240,
NGC315,Galaxy,P366,
NGC488,Galaxy,Herschel 400 H252-3,
NGC524,Galaxy,Herschel 400 H151-1,
NGC628,Galaxy,M74 Phantom Galaxy,
NGC660,Galaxy,P318,
NGC741,Galaxy,P260,
NGC2396,Open Cluster,P99,
NGC2409,Open Cluster,P100,
NGC2414,Open Cluster,P101,
NGC2421,Open Cluster,Herschel 400 H67-7,
NGC2422,Open Cluster,"M47, Herschel 400 H38-8",
NGC2423,Open Cluster,Herschel 400 H28-7,
NGC2432,Open Cluster,P241,
NGC2437,Open Cluster,M46,
NGC2438,Planetary Nebula,Herschel 400 H39-4,
NGC2440,Planetary Nebula,Herschel 400 H64-4 Bow Tie Nebula,
NGC2447,Open Cluster,M93 Critter Cluster,
NGC2452,Planetary Nebula,"P47, appears close to NGC 2453 but is unrelated",
NGC2453,Open Cluster,P176,
NGC2455,Open Cluster,P242,
NGC2467,Emission Nebula,P102 Skull and Crossbones Nebula,
NGC2479,Open Cluster,Herschel 400 H58-7,
NGC2482,Open Cluster,Herschel 400 H10-7,
NGC2483,Open Cluster,P103,
NGC2489,Open Cluster,Herschel 400 H23-7,
NGC2509,Open Cluster,Herschel 400 H1-8,
NGC2527,Open Cluster,Herschel 400 H30-8,
NGC2533,Open Cluster,P104,
NGC2539,Open Cluster,Herschel 400 H11-7,
NGC2566,Galaxy,P48,
NGC2567,Open Cluster,Herschel 400 H64-7,
NGC2571,Open Cluster,Herschel 400 H39-6,
NGC2587,Open Cluster,P179,
NGC2613,Galaxy,P298,
NGC2627,Open Cluster,Herschel 400 H63-7,
IC4997,Planetary Nebula,P246,
NGC6838,Globular Cluster,M71 Angelfish Globular Cluster,
NGC6879,Planetary Nebula,P355,
NGC6886,Planetary Nebula,P247,
IC1274,HII,Ionized Nebula P323,
IC1284,HII,Ionized Nebula P281,
IC4678,Emission Nebula,"P295, at edge of M8 (NGC 6523) Lagoon Nebula",
IC4684,Reflection Nebula,P363,
IC4685,Emission/Reflect,Neb P364,
IC4701,Emission Nebula,P365,
IC4706,Emission Nebula,P274,
IC4715,Bright,Star Field M24 Small Sagittarius Star Cloud,
IC4725,Open Cluster,M25,
IC4732,Planetary Nebula,P182,
IC4776,Planetary Nebula,P183,
NGC6440,Globular Cluster,Herschel 400 H150-1,
NGC6445,Planetary Nebula,Herschel 400 H586-2,
NGC6469,Open Cluster,P184,
NGC6494,Open Cluster,M23,
NGC6507,Open Cluster,P185,
NGC6514,HII,"Ionized Nebula M20, Herschel 400 H41-1 Trifid Nebula",
NGC6520,Open Cluster,"Herschel 400 H7-7, in Large Sagittarius Star Cloud",
NGC6522,Globular Cluster,Herschel 400 H49-1,
NGC6523,HII,Ionized Nebula M8 Lagoon Nebula,
NGC6528,Globular Cluster,Herschel 400 H200-2,
NGC6530,Open Cluster,"P49, overlaps M8 (NGC 6523) Lagoon Nebula",
NGC6531,Open Cluster,M21 Webb’s Cross Cluster,
NGC6537,Planetary Nebula,P316 Red Spider Nebula,
NGC6540,Globular Cluster,Herschel 400 H198-2,
NGC6544,Globular Cluster,Herschel 400 H197-2,
NGC6546,Open Cluster,P106,
NGC6553,Globular Cluster,Herschel 400 H12-4,
NGC6558,Globular Cluster,P210,
NGC6559,Emission/Reflect,Neb P328,
NGC6565,Planetary Nebula,P248,
NGC6567,Planetary Nebula,P188,
NGC6568,Open Cluster,Herschel 400 H30-7,
NGC6569,Globular Cluster,Herschel 400 H201-2,
NGC6583,Open Cluster,Herschel 400 H31-7,
NGC6589,Reflection Nebula,P302,
NGC6590,Reflection Nebula,P50,
NGC6603,Open Cluster,"P340, embedded in M24 Small Sagittarius Star Cloud",
NGC6613,Open Cluster,M18 Black Swan Cluster,
NGC6618,HII,Ionized Nebula M17 Omega Nebula,
NGC6624,Globular Cluster,Herschel 400 H50-1,
NGC6626,Globular Cluster,M28,
NGC6629,Planetary Nebula,Herschel 400 H204-2,
NGC6637,Globular Cluster,M69,
NGC6638,Globular Cluster,Herschel 400 H51-1,
NGC6642,Globular Cluster,Herschel 400 H205-2,
NGC6644,Planetary Nebula,P309,
NGC6645,Open Cluster,Herschel 400 H23-6,
NGC6652,Globular Cluster,P31,
NGC6656,Globular Cluster,M22 Great Sagitarius Globular Cluster,
NGC6681,Globular Cluster,M70,
NGC6715,Globular Cluster,M54,
NGC6716,Open Cluster,P109,
NGC6717,Globular Cluster,"P110, Palomar 9, nearly obscured by Star SAO 187445",
NGC6809,Globular Cluster,M55 Specter Globular Cluster,
NGC6818,Planetary Nebula,Herschel 400 H51-4 Little Gem Nebula,
NGC6822,Galaxy,C57 Barnard’s Galaxy,
NGC6864,Globular Cluster,M75,
IC4591,HII,"Ionized Nebula P360, part of Rho Ophiuchi Cloud Complex",
IC4592,Reflection Nebula,P29 Blue Horsehead Nebula,
IC4601,Reflection Nebula,"P331, part of Rho Ophiuchi Cloud Complex",
IC4605,Reflection Nebula,"P189, part of Rho Ophiuchi Cloud Complex",
NGC6093,Globular Cluster,M80,
NGC6121,Globular Cluster,M4 Spider Globular Cluster,
NGC6144,Globular Cluster,Herschel 400 H10-6,
NGC6405,Open Cluster,M6 Butterfly Cluster,
NGC6451,Open Cluster,Herschel 400 H13-6,
NGC6475,Open Cluster,M7 Ptolemy’s Cluster,
NGC253,Galaxy,"C65, Herschel 400 H1-5 Sculptor Galaxy",
NGC288,Globular Cluster,Herschel 400 H20-6,
NGC613,Galaxy,Herschel 400 H281-1,
NGC7507,Galaxy,P117,
IC1287,Reflection Nebula,P334,
IC1295,Planetary Nebula,P352,
NGC6625,Open Cluster,P191,
NGC6631,Open Cluster,P196,
NGC6649,Open Cluster,P197,
NGC6664,Open Cluster,Herschel 400 H12-8,
NGC6683,Open Cluster,P335,
NGC6694,Open Cluster,M26,
NGC6704,Open Cluster,P198,
NGC6705,Open Cluster,M11 Wild Duck Cluster,
NGC6712,Globular Cluster,Herschel 400 H47-1,
NGC5904,Globular Cluster,M5 Rose Globular Cluster,
NGC5921,Galaxy,P336,
NGC6118,Galaxy,Herschel 400 H402-2,
IC1276,Globular Cluster,"P118, Palomar 7 Globular Cluster",
IC4703,HII,"Ionized Nebula P337, includes M16 (NGC 6611) Eagle Nebula",
IC4756,Open Cluster,P62 Graff’s Cluster,
NGC6535,Globular Cluster,P199,
NGC6539,Globular Cluster,P119,
NGC6604,Open Cluster,P63,
NGC6611,HII,"Ionized Nebula M16 Eagle Nebula and Cluster, included in IC 4703",
NGC2974,Galaxy,Herschel 400 H61-1,
NGC3115,Galaxy,"C53, Herschel 400 H163-1 Spindle Galaxy",
NGC3166,Galaxy,"Herschel 400 H3-1, paired with NGC 3169",
NGC3169,Galaxy,"Herschel 400 H4-1, paired with NGC 3166",
NGC3423,Galaxy,P187,
Messier45,Open Cluster,"M45, Collinder 42, Pleiades, Seven Sisters, Subaru",
Caldwell41,Open Cluster,"C41, Collinder 50, Hyades",
IC349,Reflection Nebula,P339 Barnard’s Merope Nebula,
NGC1514,Planetary Nebula,P120 Crystal Ball Nebula,
NGC1554,Reflection Nebula,P200 Von Struve’s Lost Nebula,
NGC1555,Reflection Nebula,P201 Hind’s Variable Nebula,
NGC1647,Open Cluster,Herschel 400 H8-8,
NGC1746,Asterism,"P55, includes NGC 1750 and NGC 1758",
NGC1750,Open Cluster,"Herschel 400 H43-8, overlaps NGC 1746",
NGC1807,Asterism,P65,
NGC1817,Open Cluster,Herschel 400 H4-7,
NGC1952,Supernova Remnant,M1 Crab Nebula,
NGC598,Galaxy,"M33, Herschel 400 H17-5 Triangulum Galaxy",
NGC672,Galaxy,P114,
NGC890,Galaxy,P150,
NGC925,Galaxy,P66,
Messier40,Double,"Star M40, Winnecke 4 (not a binary pair)",
IC2574,Galaxy,P121 Coddington’s Dwarf Galaxy,
NGC2681,Galaxy,Herschel 400 H242-1,
NGC2685,Galaxy,P57 Helix Galaxy,
NGC2742,Galaxy,Herschel 400 H249-1,
NGC2768,Galaxy,Herschel 400 H250-1,
NGC2787,Galaxy,Herschel 400 H216-1,
NGC2805,Galaxy,P338,
NGC2841,Galaxy,Herschel 400 H205-1,
NGC2950,Galaxy,Herschel 400 H68-4,
NGC2976,Galaxy,Herschel 400 H285-1,
NGC2985,Galaxy,Herschel 400 H78-1,
NGC3031,Galaxy,M81 Bode’s Galaxy,
NGC3034,Galaxy,"M82, Herschel 400 H79-4 Cigar Galaxy",
NGC3077,Galaxy,Herschel 400 H286-1,
NGC3079,Galaxy,Herschel 400 H47-5,
NGC3184,Galaxy,Herschel 400 H168-1 Little Pinwheel Galaxy,
NGC3198,Galaxy,Herschel 400 H199-1,
NGC3310,Galaxy,Herschel 400 H60-4,
NGC3319,Galaxy,P244,
NGC3348,Galaxy,P282,
NGC3359,Galaxy,P202,
NGC3556,Galaxy,"M108, Herschel 400 H46-5 Surfboard Galaxy",
NGC3587,Planetary Nebula,M97 Owl Nebula,
NGC3610,Galaxy,Herschel 400 H270-1,
NGC3613,Galaxy,"Herschel 400 H271-1, paired with NGC 3619",
NGC3619,Galaxy,"Herschel 400 H244-1, paired with NGC 3613",
NGC3631,Galaxy,Herschel 400 H226-1,
NGC3665,Galaxy,Herschel 400 H219-1,
NGC3675,Galaxy,Herschel 400 H194-1,
NGC3718,Galaxy,"P275, paired with NGC 3729",
NGC3726,Galaxy,Herschel 400 H730-2,
NGC3729,Galaxy,"Herschel 400 H222-1, paired with NGC 3718",
NGC3813,Galaxy,Herschel 400 H94-1,
NGC3877,Galaxy,Herschel 400 H201-1,
NGC3893,Galaxy,Herschel 400 H738-2,
NGC3898,Galaxy,Herschel 400 H228-1,
NGC3938,Galaxy,Herschel 400 H203-1,
NGC3941,Galaxy,Herschel 400 H173-1,
NGC3945,Galaxy,Herschel 400 H251-1,
NGC3949,Galaxy,Herschel 400 H202-1,
NGC3953,Galaxy,Herschel 400 H45-5,
NGC3982,Galaxy,Herschel 400 H62-4,
NGC3992,Galaxy,"M109, Herschel 400 H61-4 Vacuum Cleaner Galaxy",
NGC3998,Galaxy,Herschel 400 H229-1,
NGC4026,Galaxy,Herschel 400 H223-1,
NGC4036,Galaxy,"Herschel 400 H253-1, paired with NGC 4041",
NGC4041,Galaxy,"Herschel 400 H252-1, paired with NGC 4036",
NGC4051,Galaxy,Herschel 400 H56-4,
NGC4062,Galaxy,P332,
NGC4085,Galaxy,"Herschel 400 H224-1, paired with NGC 4088",
NGC4088,Galaxy,"Herschel 400 H206-1, paired with NGC 4085",
NGC4096,Galaxy,P268,
NGC4100,Galaxy,P347,
NGC4102,Galaxy,Herschel 400 H225-1,
NGC4605,Galaxy,P111,
NGC5322,Galaxy,Herschel 400 H256-1,
NGC5448,Galaxy,P129,
NGC5457,Galaxy,"M101 Pinwheel Galaxy, paired with NGC 5474",
NGC5473,Galaxy,Herschel 400 H231-1,
NGC5474,Galaxy,"Herschel 400 H214-1, paired with M101 (NGC 5457)",
NGC5585,Galaxy,P289,
NGC5631,Galaxy,Herschel 400 H236-1,
NGC6217,Galaxy,Herschel 400 H280-1,
NGC4030,Galaxy,Herschel 400 H121-1,
NGC4179,Galaxy,Herschel 400 H9-1,
NGC4216,Galaxy,Herschel 400 H35-1,
NGC4261,Galaxy,Herschel 400 H139-2,
NGC4267,Galaxy,P280,
NGC4273,Galaxy,Herschel 400 H569-2,
NGC4281,Galaxy,Herschel 400 H573-2,
NGC4303,Galaxy,"M61, Herschel 400 H139-1 Swelling Spiral Galaxy",
NGC4365,Galaxy,Herschel 400 H30-1,
NGC4371,Galaxy,Herschel 400 H22-1,
NGC4374,Galaxy,"M84, part of Markarian’s Chain",
NGC4388,Galaxy,P190,
NGC4406,Galaxy,"M86, part of Markarian’s Chain",
NGC4417,Galaxy,P116,
NGC4429,Galaxy,Herschel 400 H65-2,
NGC4435,Galaxy,Herschel 400 H28.1-1 Markarian’s Eyes Galaxy (North),
NGC4438,Galaxy,Herschel 400 H28.2-1 Markarian’s Eyes Galaxy (South),
NGC4442,Galaxy,Herschel 400 H156-2,
NGC4457,Galaxy,P343,
NGC4461,Galaxy,"P315, paired with NGC 4458, part of Markarian’s Chain",
NGC4469,Galaxy,P322,
NGC4472,Galaxy,M49,
NGC4478,Galaxy,Herschel 400 H124-2,
NGC4486,Galaxy,M87 Virgo A Galaxy,
NGC4503,Galaxy,P287,
NGC4517,Galaxy,P30,
NGC4526,Galaxy,Herschel 400 H31-1,
NGC4527,Galaxy,Herschel 400 H37-2,
NGC4535,Galaxy,Herschel 400 H500-2 Lost Galaxy,
NGC4536,Galaxy,Herschel 400 H2-5,
NGC4546,Galaxy,Herschel 400 H160-1,
NGC4550,Galaxy,Herschel 400 H36-1,
NGC4552,Galaxy,M89,
NGC4567/NGC4568,Galaxy,P56 Siamese Twins Galaxies,
NGC4569,Galaxy,M90,
NGC4570,Galaxy,Herschel 400 H32-1,
NGC4579,Galaxy,M58,
NGC4594,Galaxy,"M104, Herschel 400 H43-1 Sombrero Galaxy",
NGC4596,Galaxy,Herschel 400 H24-1,
NGC4608,Galaxy,P341,
NGC4621,Galaxy,M59,
NGC4636,Galaxy,Herschel 400 H38-2,
NGC4638,Galaxy,P256,
NGC4643,Galaxy,Herschel 400 H10-1,
NGC4649,Galaxy,M60,
NGC4654,Galaxy,Herschel 400 H126-2,
NGC4660,Galaxy,Herschel 400 H71-2,
NGC4665,Galaxy,Herschel 400 H142-1,
NGC4666,Galaxy,Herschel 400 H15-1,
NGC4691,Galaxy,P294,
NGC4697,Galaxy,"C52, Herschel 400 H39-1",
NGC4698,Galaxy,Herschel 400 H8-1,
NGC4699,Galaxy,Herschel 400 H129-1,
NGC4742,Galaxy,P59,
NGC4753,Galaxy,Herschel 400 H16-1,
NGC4754,Galaxy,"Herschel 400 H25-1, paired with NGC 4762",
NGC4762,Galaxy,"Herschel 400 H75-2, paired with NGC 4754",
NGC4781,Galaxy,Herschel 400 H134-1,
NGC4845,Galaxy,Herschel 400 H536-2,
NGC4856,Galaxy,Herschel 400 H68-1,
NGC4866,Galaxy,Herschel 400 H162-1,
NGC4900,Galaxy,Herschel 400 H143-1,
NGC4958,Galaxy,Herschel 400 H130-1,
NGC4984,Galaxy,P308,
NGC4995,Galaxy,Herschel 400 H42-1,
NGC5018,Galaxy,P273,
NGC5044,Galaxy,P259,
NGC5054,Galaxy,Herschel 400 H513-2,
NGC5068,Galaxy,P203,
NGC5084,Galaxy,P329,
NGC5087,Galaxy,P319,
NGC5170,Galaxy,P61,
NGC5247,Galaxy,P67,
NGC5363,Galaxy,"Herschel 400 H6-1, paired with NGC 5364",
NGC5364,Galaxy,"Herschel 400 H534-2, paired with NGC 5363",
NGC5566,Galaxy,Herschel 400 H144-1,
NGC5576,Galaxy,Herschel 400 H146-1,
NGC5634,Globular Cluster,Herschel 400 H70-1,
NGC5638,Galaxy,P115,
NGC5701,Galaxy,P113,
NGC5746,Galaxy,Herschel 400 H126-1,
NGC5813,Galaxy,P270,
NGC5838,Galaxy,P266,
NGC5846,Galaxy,Herschel 400 H128-1,
NGC5850,Galaxy,P301,
NGC6802,Open Cluster,Herschel 400 H14-6,
NGC6823,Open Cluster,Herschel 400 H18-7,
NGC6830,Open Cluster,Herschel 400 H9-7,
NGC6853,Planetary Nebula,M27 Dumbell Nebula,
NGC6882,Open Cluster,Herschel 400 H22-8,
NGC6885,Open Cluster,"C37, Herschel 400 H20-8",
NGC6940,Open Cluster,Herschel 400 H8-7,
