NGC_#	Con	Type	RA_2000	Declination	Mag	Size	Hershel_#	Observation Notes
404	AND	E0	01 09.5	#ERROR!	10.1	4'X4'	H II 224	Bright, pretty large, somewhat elongated, somewhat brighter in the middle, near Beta And.
752	AND	OPNCL	01 57.8	#ERROR!	5.7	50.0'	H VII 32	Bright, Large, not Compressed, many nice chains of stars.
891	AND	Sb	02 22.6	#ERROR!	11.5	14.0'X3.0'	H V 19	17.5"--pretty Bright, pretty Large, very Elongated, central bulge obvious, outer arms show sculptured detail at 200X
7662	AND	PLNNB	23 25.9	#ERROR!	8.6	17"X14"	H IV 18	17.5"--pretty Bright, pretty Small, Round greenish dot at 100X. 320X central hole seen easily, central star suspected in good seeing.
7686	AND	OPNCL	23 30.2	#ERROR!	5.6	15.0'	H VIII 69	Pretty bright, pretty compressed, round, surrounds a yellow 8th mag star, very nice at 100X.
205	AND	E6	00 40.4	#ERROR!	8	17'X10'	H V 18	(M 110) Bright, Large, not compressed, dimmer than M 32 in the 8" at 60X. Just seen in the 10 X 50 binoculars.
6756	AQL	OPNCL	19 08.7	#ERROR!	10.6	4.0'	H VII 62	Pretty small, much compressed, elongated, compact cluster at 165X. I counted 15 members resolved.
6781	AQL	PLNNB	19 18.5	#ERROR!	11.8	111"X109"	H III 743	Bright, Large, somewhat elongated at 100X. It is immediately obvious without the UHC filter. This planetary is shaped like the gibbous moon with the south side brighter in an arc. There is one star involved that stands out very nicely. The UHC filter helps some. I estimate its' size at one arc minute.
6755	AQL	OPNCL	19 07.8	#ERROR!	7.5	15.0'	H VII 19	Large, not compressed, irregular shape and has nice chains of stars at 100X. 50 members counted. This object and 6756 both fit in the one degree field of my giant 38mm Erfle eyepiece. I called it the Double Cluster in Aquila. Both clusters are just visible in the 11 X 80 finder.
7606	AQR	GALXY	23 19.1	-08 29	11.5	5.8'X2.6'	H I 104	Pretty bright, pretty much elongated and brighter in the middle with a stellar nucleus at 165X.
7723	AQR	GALXY	23 38.9	-12 58	12	3.6'X2.6'	H I 110	Pretty faint, pretty large, somewhat elongated. It has a stellar core at 100X. The core is about 10" in size at 220X.
7727	AQR	GALXY	23 39.9	-12 18	11.5	4.2'X3.4'	H I 111	Pretty faint, round, pretty bright nucleus, averted vision helps the contrast of this galaxy. There is an attendant galaxy about 20' to the West. I believe it is NGC 7724.
7009	AQR	PLNNB	21 04.2	-11 22	8.3	28"X23"	H IV 1	is the Saturn Nebula, a famous planetary with outer ansae (wing-like projections) and a bright inner disk. It was discovered by William Herschel in 1782 but Lord Rosse was the first to see the extending ansae. The projections reminded him of the planet Saturn and he gave this object its' nickname. Amateurs have been trying to duplicate that observation ever since. The observation of the Saturn Nebula is made with Helen and Richard Lines' 20" f/6 Newtonian in Meyer, Az. The nebula is bright, small, somewhat elongated and light green at 150X. Raising the power to 225X will show the ansae as faint projections from the bright central section. At 400X the central star is obvious and the ansae stand out more clearly. One of the bright spots along the ansae (Helen Lines calls them wing tanks) is visible at this higher power. All these observations are on a night I rated 7/10 for seeing and transparency and I found that the U 7009 UHC filter did NOT help with either the central disk or the ansae detail. Several observers, myself included saw the nebula as light green, without the UHC filter installed.
772	ARI	Sb	01 59.4	#ERROR!	11.5	8.0'X5.0'	H I 112	Bright, Large, little elongated in PA 135 degrees. The arms of this face-on spiral are very mottled. The core is much brighter than the arms at 165X and the very center has a stellar nucleus in moments of good seeing.
2126	AUR	OPNCL	06 03.0	#ERROR!	10.2	6.0'	H VIII 68	pretty bright, pretty large, irregular shape, not compressed. 22 stars counted in an arrowhead shape at 135X. There is a 6th mag star on the NE edge of the cluster.
1931	AUR	CL+NB	05 31.4	#ERROR!	11.3	3'X3'	H I 261	Bright, pretty large and somewhat elongated. Looks like a small comet at very low powers. There is a triple star in the center, it is resolved at 200X.
2281	AUR	OPNCL	06 49.3	#ERROR!	5.4	15.0'	H VIII 71	Pretty bright, pretty large, not compressed, not rich at 100X. A dozen 10th and 11th mag stars with some fainter attendants.
1664	AUR	OPNCL	04 51.1	#ERROR!	7.6	18'	H VIII 59	Pretty bright, pretty large, not rich, not compressed. Seen in 11X80 finder. 30 Stars counted in 13" at 135X. There is an 8th mag star on the south side of cluster, with a nice chain of fainter stars leading to it.
1857	AUR	OPNCL	05 20.2	#ERROR!	7	6'	H VII 33	Bright and Rich. Very nice at 165X, an 8th mag yellow star with several nice star chains radiating out from it. 45 members counted in about 12 minutes of cluster size.
1907	AUR	OPNCL	05 28.0	#ERROR!	8.2	7.0'	H VII 39	pretty bright, pretty small, much compressed and resolved at 165X. Just seen in 11X80 finder, I counted 22 stars in 13".
5248	BOO	Sc	13 37.4	#ERROR!	11.4	6.8'X5.0'	H I 34	Bright, Large, elongated 2.5 X 1 in PA 135. Has a very bright middle and an almost stellar nucleus at 135X. Averted vision increases the size of galaxy quite a bit and also shows off some beautiful mottling in the outer arm regions.
5466	BOO	GLOCL	14 05.5	#ERROR!	9.1	11.0'	H VI 9	Pretty bright, large, little elongated 1.5 X 1 in PA 15, somewhat like a heart shape, pretty rich and compressed at 165X. 28 stars counted on a night I rated 7/10 for seeing. Even though this globular has a bright core, it is still a pretty low surface brightness object, kind of like Omega Centauri in a 2".
5557	BOO	E1	14 18.3	#ERROR!	12.2	2.2'X2.0'	H I 99	Pretty bright, pretty large, little elongated 1.5 X 1 in PA 90 and much brighter in the middle with an almost stellar nucleus at 165X.
5676	BOO	Sc	14 32.8	#ERROR!	11.7	4.0'X1.7'	H I 189	Pretty bright, pretty large, much elongated 3X1 in PA 45 and brighter in the middle at 100X. Going to 165X will show off a stellar nucleus and some nice mottling on a sharp night.
5689	BOO	SBa	14 35.5	#ERROR!	12.7	4.0'X1.1'	H I 188	Pretty bright, pretty large, much elongated 3 X 1 in PA 90 and much brighter in the middle at 100X. NGC 5693 is to the south and it is faint, small, round and not brighter in the middle.
1502	CAM	OPNCL	04 07.7	#ERROR!	5.7	8.0'	H VII 47	Bright, large, and pretty rich at 100X. There are 27 stars counted in the cluster with several bright pairs and a nice blue and gold double on the north east side. This somewhat scattered open cluster is easy in the 11X80 finder.
1961	CAM	SBp	05 42.2	#ERROR!	11.5	4.5'X4.5'	H III 747	Pretty faint, pretty large, Elongated 3 X 2 in PA 90, brighter in the middle and somewhat mottled at 100X.
1501	CAM	PLNNB	04 07.0	#ERROR!	12	56"X48"	H IV 53	Bright, Large, round at 165X. The central star comes and goes at lower powers but is held steady at 270X. This planetary is a light blue disk at all powers. There are some dark markings within the disk, somewhat like the Eskimo Nebula in Gemini.
2655	CAM	S(B)a	08 55.6	#ERROR!	11.5	6.5'X5.8'	H I 288	Bright, pretty large and little elongated at 135X. This galaxy is much brighter in the middle with a bright central nucleus at 220X.
2403	CAM	Sc	07 36.8	#ERROR!	9.5	17.8'	H V 44	Bright, large and elongated 1.5X1 in PA 135 degrees at 135X. This object is bright enough to be seen with the 11X80 finderscope. There are several stars involved with faint spiral structure in the outer sections in this lovely galaxy. The middle is gradually much brighter. From the darkest sites, the spiral arms of this galaxy shimmer and sparkle with mottling.
559	CAS	OPNCL	01 29.5	#ERROR!	9.5	4.4'	H VII 48	Counted 15 members at 135X. Bright, pretty large, elongated 2x1, rich. Those 15 stars are superimposed on a very grainy backround and the whole thing can be seen in the 11X80 finder.
7790	CAS	OPNCL	23 58.4	#ERROR!	8.5	5'	H VII 56	Counted 32 stars at 100X. Pretty compressed, pretty rich, brightest star 11th mag.
7789	CAS	OPNCL	23 57.0	#ERROR!	6.7	16.0'	H VI 30	160 Stars estimated by counting 40 in the N to W quadrant. Bright, large, very rich, very much compressed at 100X. There are many dim members in this excellant cluster. Dark lanes wind through this group from edge to edge and give the impression of spiral structure. At 165X the cluster fills the field with many lovely pairs and delicate asterisms. This cluster has been a favorite since my first observation.
1027	CAS	OPNCL	02 42.7	#ERROR!	6.7	20.0'	H VIII 66	Bright, pretty large, pretty rich, somewhat compressed at 135X. 33 stars counted. There is no nebulosity seen, even with the UHC. Page 41 of the Atlas of Deep Sky Splendors shows a photograph with lots of nebulosity in this area. I tried to see it with the UHC and the 38mm Erfle eyepiece and could only pick out the part near Mel 15.
663	CAS	OPNCL	01 46.0	#ERROR!	7.1	16.0'	H VI 31	Counted 69 stars at 100X. Bright, large, very rich, much compressed. Several 8th mag members across the face of the cluster. There is a curved north to south dark lane down the middle of the cluster. This is one of the best Non-Messier open clusters. It is unmistakeable in the 11X80 finder.
659	CAS	OPNCL	01 44.2	#ERROR!	7.9	5.0'	H VIII 65	Counted 11 stars at 100X. Pretty bright, pretty small, not rich, not compressed.
654	CAS	OPNCL	01 44.1	#ERROR!	6.5	5.0'	H VII 46	Counted 34 stars at 165X. Pretty bright, rich,compressed and round. There is a 7th mag star on the south side. There are lots of unresolved members even at 165X. A nice cluster.
637	CAS	OPNCL	01 42.9	#ERROR!	8.2	3.5'	H VII 49	16 stars counted at 135X. Bright, pretty large, not compressed, pretty rich. Several of the brighter stars are about 10th mag. There is a lovely triangle of stars near the center. The cluster is easy in the 11X80 finder.
436	CAS	OPNCL	01 15.6	#ERROR!	8.8	6.0'	H VII 45	28 stars counted at 165X. Pretty bright, small, somewhat compressed, pretty rich, nice at high power. There are several multiple stars involved.
381	CAS	OPNCL	01 08.3	#ERROR!	9.3	6.0'	H VIII 64	63 Stars counted at 135X. Bright, pretty large, compressed, lots of dim members provide a "cottage cheese" backround. Seen in 11X80.
278	CAS	Sc	00 52.0	#ERROR!	10.9	2'X2'	H I 159	Pretty bright, pretty large, round, much brighter middle. There is a 10th mag star on the north side.
225	CAS	OPNCL	00 43.4	#ERROR!	7	12.0'	H VIII 78	21 stars counted at 135X. Bright, pretty large, little compressed. There is a nice chain of 7 stars on he east side.
185	CAS	dE0	00 39.0	#ERROR!	9.7	12'X10'	H II 707	Pretty faint, large, elongated 1.5x1, somewhat brighter middle, sonewhat mottled at 100X.
129	CAS	OPNCL	00 29.9	#ERROR!	6.5	21.0'	H VIII 79	Counted 30 stars at 100X. Bright, pretty large, pretty rich, little compressed. Seen in 11X80 finder.
136	CAS	OPNCL	00 31.5	#ERROR!	99.9	1.2'	H VI 35	Counted 10 stars at 165X. Faint, small, compressed. Someone has a lot of nerve calling this a cluster.
457	CAS	OPNCL	01 19.1	#ERROR!	6.4	13.0'	H VII 42	Bright, large, pretty rich, compressed. 63 stars counted including Phi Cass, it is a light yellow star at the edge of the cluster at 100X. There is another bright star near Phi that gives the effect of having two glowing eyes looking back at the observer. In the Southwest we call this cluster the Kachina Doll, two sparkling eyes and the rest of the cluster outlines outstreched arms with feathers. Many tribes in the Southwest made such dolls for their rites.
6946	CEP	Sc	20 34.8	#ERROR!	10.5	14'	H IV 76	This face-on spiral galaxy has a low surface brightness and therefore responds to the atmosphere more than edge-on systems. For that reason I have called this object "pretty faint" on a night I rated 5/10 and then called it "pretty bright" on a night that was 8/10 in the mountains of Northern Arizona. In any case it is pretty large, somewhat elongated and has a bright, almost stellar nucleus. Even at the best of times I have never seen spiral structure in this object. There is a very dim extension that forms a 'V' shape.
7510	CEP	OPNCL	23 11.5	#ERROR!	7.9	4.0'	H VII 44	bright, pretty large, somewhat compressed cluster at 165X.I counted 22 members in an irregular shape, with several nice lines of stars. In a wide field eyepiece, cluster King 19 is in the same field.
7380	CEP	OPNCL	22 47.0	#ERROR!	7.2	12.0'	H VIII 77	pretty bright, pretty large, not compressed, triangularly-shaped cluster of 36 stars at 100X. There is nebulosity involved in the cluster, it can be seen without the UHC filter, but the filter helps the contrast very much. The nebula is dim enough that when I use my red flashlight to take notes, the nebula disappears for a few moments when I return to the eyepiece.
7142	CEP	OPNCL	21 45.9	#ERROR!	9.3	4.3'	H VII 66	pretty bright, large, not compressed, rich cluster of 30 stars at 100X.
6939	CEP	OPNCL	20 31.4	#ERROR!	7.8	8.0'	H VI 42	Bright, large, rich, compressed and irregularly round in shape at 135X. I estimated 70 stars, there are lots of dimmer members. This cluster has many lovely chains of stars meandering out into the Milky Way. It is easy in the 11X80 finder.
40	CEP	PLNNB	00 13.0	#ERROR!	10.7	60"X40"	H IV 58	bright, large, and elongated 1.5X1. Central star obvious at 200X. The color is grey at all powers. At 200X and above from one of our best locations, the nebula shows off two brighter ends that look like "polar caps" on Mars. The western cap is larger and brighter. From a poorer site on a night I rated 5/10 for seeing and transparency, the brighter parts of the planetary make it appear to have a spiral shape. The "polar cap" effect only appears on the best of nights.
7160	CEP	OPNCL	21 53.7	#ERROR!	6.1	7.0'	H VIII 67	bright, pretty large, scattered group of 16 stars at 135X. Two 9th mag stars and several fainter ones, not much.
779	CET	Sb	01 59.7	-05 58	12	4.1'X1.4'	H I 101	Pretty bright, Large, much elongated, much bright middle. Somewhat mottled at 165X.
157	CET	Sc	00 34.9	-08 24	10.4	4'X3'	H II 3	Pretty bright, large, elongated 2 X 1 and somewhat brighter in the middle at 100X. An 11th mag star in involved on the east side. At 135X this galaxy shows some mottling in moments of good seeing.
1055	CET	SB	02 41.8	#ERROR!	11.5	8'X4'	H I 1 = H II 6	Pretty bright, pretty large, much elongated (3 X 1), bright middle. Averted vision makes this object grow larger and will just bring out a dark lane running along the galaxy edge.
1052	CET	GALXY	02 41.0	-08 15	12	3'X2'	H I 63	Pretty bright, pretty small, round, much brighter middle. This is the brightest galaxy in a small group. The central three galaxies offer an interresting contrast. NGC 1052 is round and pretty noticeable at 100X. One nearby companion is round and very faint, while another is pretty faint and elongated 3 X 1. They all fit in a 20 mm Erfle eyepiece which has a 30' field and gives 100X on the 13". A very nice grouping.
1022	CET	Sb	02 38.5	-06 40	12.5	3'X2'	H I 102	Pretty bright, pretty large, round, somewhat brighter middle.
936	CET	SBa	02 27.7	-01 09	11	5.6'X4.5'	H IV 23	Pretty bright, pretty large, round, much brighter middle. This is a barred spiral, but I could not see any central bar structure.
908	CET	Sc	02 23.1	-21 13	11	5.5'X2.8'	H I 153	Pretty bright, large, elongated 2 X 1, gradually brighter middle. At 165X the core of this galaxy is elongated in the same PA as the galaxy.
615	CET	Sb	01 35.1	-07 19	12.5	4.0'X1.7'	H II 282	Pretty bright, pretty small, somewhat elongated, much brighter middle.
596	CET	E2	01 32.8	-07 01	12.5	3.5'X2.2'	H II 4	Pretty bright, pretty small, round, much brighter middle at 100X. Has a stellar core at 135X in moments of good seeing.
584	CET	E4	01 31.3	-06 51	12	3.8'X2.4'	H I 100	Faint, small, elongated 2 X 1, not brighter middle.
246	CET	PLNNB	00 47.1	-11 53	8.5	240"X210"	H V 25	is a very nice planetary to break up all these galaxies. It is bright, large and round at 100X. There are several dark areas in this nebula and they combine to look like this is a doughnut someone took a bite from. The UHC filter makes this effect more noticeable. There are three stars involved at 165X.
247	CET	S-	00 47.0	-20 45	8.9	20'X7'	H V 20	Pretty faint, very large, much elongated (4 X 1) and has a star at one end. It is not much brighter in the middle at 100X in the 13". This object was much more conspicuous in my old 17.5" at 130X. In either scope, this galaxy has a pretty low surface brightness and does not deserve the 10th mag rating it gets in many listings. The outer portions are mottled in both scopes, with good seeing.
720	CET	E4	01 53.0	-13 44	11.5	4.4'X2.8'	H I 105	Pretty bright, pretty large, much elongated 3 X 1, somewhat brighter middle with bright almost stellar core.
2204	CMA	OPNCL	06 15.7	-18 39	8.6	13.0'	H VII 13	not much, "K" shape, 30 stars and somewhat milky backround, orange 9 mag * to one side.
2354	CMA	OPNCL	07 14.3	-25 44	6.5	20.0'	H VII 16	Bright, large, not compressed at 100X. 40 * in Milky Way field, several dark lanes in group with nice chains of stars. Just seen in 10X50 binoculars.
2360	CMA	OPNCL	07 17.8	-15 37	7.2	13.0'	H VII 12	Bright, large, compressed, rich and round. Easy in 8X50 finder. At 100X there are about 20 pretty bright stars with another 50 for fill in. This is a winter favorite.
2362	CMA	OPNCL	07 18.8	-24 57	4.1	8.0'	H VII 17	pretty bright, pretty large, somewhat compressed, round at 165X. Tau CMA and about 45 stars. Tau has dark band around it, then cluster members. Tau has two companions that form almost a straight line. Tau is white, the two comes are bluish and both are on one side of Tau. Having a bright triple star in the center of a cluster is quite unique and I return to this object often.
2775	CNC	Sa	09 10.3	#ERROR!	11.5	5.0'X4.0'	H I 2	Bright, large, elongated 1.8 X 1 in PA 165, much brighter in the middle at 165X. Mottling in arms and core elongated 2 X 1 in same PA as galaxy.
4448	COM	GALXY	12 28.2	#ERROR!	11.9	4.0'X1.5'	H I 91	pretty bright, pretty large, elongated 2X1, much brighter middle at 100X.
4459	COM	GALXY	12 29.1	#ERROR!	11.6	3.5'X2.7'	H I 161	pretty bright, pretty small, much brighter middle at 100X. At the edge of the Coma Galaxy Cluster, so there are four small, faint companions in the 40' field of view.
4473	COM	GALXY	12 29.9	#ERROR!	11.2	3.6'X2.3'	H II 114	pretty bright, pretty small, round, much brighter middle, has a very faint, round companion to the NW.
4477	COM	GALXY	12 30.1	#ERROR!	11.9	3.8'X3.5'	H II 115	Bright, large, considerably brighter middle, round. 12th mag star on the south side.
4494	COM	GALXY	12 31.3	#ERROR!	10.7	4.5'X4.3'	H I 83	bright, pretty large, round, much brighter middle at 100X
4548	COM	SBb	12 35.5	#ERROR!	11.5	5.5'X4.5'	H II 120	pretty faint, pretty large, somewhat elongated, somewhat brighter middle. Marked M 91 on U2000. Messier gave a position near here for an object "dimmer than M 90". Shapley says it may be a comet that got away, NGC 4571 has been suggested. Owen Gingerich says it was a duplicate observation of M 58.
4559	COM	GALXY	12 35.9	#ERROR!	10.7	13.0'X5.2'	H I 92	bright, large, much elongated 3X1, somewhat brighter middle at 135X. Three stars involved in south arm make this object unique, don't miss it.
4689	COM	GALXY	12 47.9	#ERROR!	12.8	4.0'X3.5'	H II 128	pretty faint, pretty large, somewhat elongated, not much brighter middle at 100X.
4419	COM	GALXY	12 27.0	#ERROR!	11.6	3.1'X1.0'	H II 113	pretty bright, pretty large, much brighter middle, much elongated at 100X.
4725	COM	GALXY	12 50.4	#ERROR!	10.2	12.0'X9.0'	H I 84	bright, large, much elongated, very bright middle at 100X. My old 17.5" would show a hint of barred spiral structure at 125X, but I have not had the chance to use the 13" on this object from an excellant site to see if the smaller scope will duplicate that feat.
4565	COM	Sb	12 36.3	#ERROR!	10.3	15.5'X1.9'	H V 24	very bright, very large, extremely elongated 10X1, very bright middle at 135X. Dark lane is easy at a good site, it can be held with direct vision. At 200X some fine detail within the dark lane is visible in moments of good seeing at our best sites in the mountains of northern Arizona. It has always looked like the classic flying saucer. At a Saguaro Astronomy Club star party someone called it "God's Frisbee". This spectacular edge-on galaxy is also a companion to Comet Coe. The story goes like this: I had just completed a new 17.5" Dobsonian and had had only few chances to get it out into dark sky. I trucked it to a club gathering at one of the best sites we use. When I observed NGC 4565 it had an obvious companion that I immediatly thought was a comet. After showing it to A. J. Crayon and several other club members, I looked it up and it was quite obvious in a photograph in Burnham's. Oh well, so much for fame 4565 and fortune. Several "friends" pointed out that it could be a very long period comet that is coming directly at the earth.
4394	COM	GALXY	12 26.0	#ERROR!	11.9	3.6'X3.4'	H II 55	M85 bright, large, somewhat elongated, star involved on north side of nucleus. 4394 following is pretty bright, small, elongated.
4350	COM	GALXY	12 24.0	#ERROR!	11.5	2.5'X0.9'	H II 86	pretty bright, pretty large, much elongated, brighter middle at 100X.
4314	COM	GALXY	12 22.6	#ERROR!	11.5	4.6'X4.5'	H I 76	pretty bright, pretty large, much elongated, brighter middle, very mottled at 100X. 4308 in field (faint, very small, not much).
4293	COM	GALXY	12 21.3	#ERROR!	11.6	5.8'X3.3'	H V 5	pretty bright, large, much elongated, brighter middle at 135X.
4278	COM	GALXY	12 20.2	#ERROR!	11.2	3.5'X3.5'	H I 90	Bright, pretty large, little elongated 1.2 X 1 in PA 90, very bright middle. Two pretty faint companions to the South.
4274	COM	GALXY	12 19.9	#ERROR!	11.1	7.3'X2.7'	H I 75	bright, pretty large, much elongated, brighter middle at 100X. Has three companions in 40' field of 20mm Erfle. Brightest of three is 4278.
4251	COM	GALXY	12 18.2	#ERROR!	11.5	3.6'X2.0'	H I 89	pretty bright, pretty small, elongated 2X1, much brighter middle at 135X.
4245	COM	GALXY	12 17.7	#ERROR!	12.4	3.5'X3.3'	H I 74	pretty bright, pretty large, somewhat elongated, much brighter middle at 100X.
4203	COM	GALXY	12 15.2	#ERROR!	11.8	3.5'X3.3'	H I 175	bright, pretty large, very bright middle at 100X. Very mottled arms, really grows with averted vision.
4150	COM	GALXY	12 10.6	#ERROR!	12.6	2.1'X1.5'	H I 73	Pretty bright, pretty large, much elongated 2.5 X 1 in PA 135 Stellar nucleus contained in a bright middle at 165X.
4147	COM	GLOCL	12 10.1	#ERROR!	10.3	4.0'	H I 19	Bright, pretty large, round, bright middle at 165X. Five stars are resolved in good seeing. A nice globular to break up all these galaxies.
4414	COM	GALXY	12 26.4	#ERROR!	10.9	4.8'X3.2'	H I 77	pretty bright, pretty large, elongated 3X1, much brighter middle at 100X. At 165X, stellar core comes and goes with the seeing.
4450	COM	GALXY	12 28.6	#ERROR!	11.2	5.5'X3.7'	H II 56	pretty bright, pretty large, little elongated, much brighter middle at 135X.
3962	CRT	GALXY	11 54.7	-13 58	10.6	2.9'X2.6'	H I 67	Pretty bright, pretty large, elongated 1.5 X 1 in PA 160 at 165X. The bright middle in this object is almost stellar at 220X, it seems consistently to have a central point that is less than 2 arc seconds in size at high power.
